"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-05-29",98947,1169,8235,8174,1676,36718,208167,14539252,467396,689,4032,1746382,23588,484191,56,16869337,513087
"2020-05-28",97778,1242,8109,8389,1687,37804,206491,14071856,421001,676,4080,1722794,22658,477794,56,16356250,465426
"2020-05-27",96536,1316,8015,8547,1699,38017,204804,13650855,287118,666,4222,1700136,19413,391223,56,15890824,414254
"2020-05-26",95220,672,7899,8585,17340,37533,203105,13363737,287615,650,4215,1680723,16978,384609,56,15476570,314228
"2020-05-25",94548,554,7847,8467,914,37382,185765,13076122,410000,642,4237,1663745,18531,378892,56,15162342,423440
"2020-05-24",93994,684,7801,8485,1016,37510,184851,12666122,350708,639,4383,1645214,18859,366510,56,14738902,356595
"2020-05-23",93310,1035,7770,8733,1356,38360,183835,12315414,376018,638,4620,1626355,22365,361116,56,14382307,420243
"2020-05-22",92275,1303,7689,9049,4046,39774,182479,11939396,381465,633,4716,1603990,24173,349936,56,13962064,408875
"2020-05-21",90972,1427,7412,9090,4643,41071,178433,11557931,439346,616,4868,1579817,26743,298183,56,13553189,495347
"2020-05-20",89545,1390,7319,9521,1975,41535,173790,11118585,392186,613,4911,1553074,21258,294133,56,13057842,438750
"2020-05-19",88155,1332,7217,9598,1626,41652,171815,10726399,379965,606,5032,1531816,20878,289283,56,12619092,397033
"2020-05-18",86823,889,7064,9754,1178,41531,170189,10346434,334158,602,5257,1510938,20848,282949,56,12222059,364374
"2020-05-17",85934,850,7003,9934,1182,41609,169011,10012276,351010,593,5467,1490090,20144,272009,56,11857685,343877
"2020-05-16",85084,1195,6945,10278,1829,43175,167829,9661266,337042,592,5529,1469946,23593,268206,56,11513808,369919
"2020-05-15",83889,1263,6890,10484,1353,44299,166000,9324224,335560,589,5746,1446353,25422,250665,56,11143889,405544
"2020-05-14",82626,1852,6795,10655,3221,45644,164647,8988664,338515,582,5940,1420931,26713,246231,56,10738345,383452
"2020-05-13",80774,1734,6713,10990,1817,46740,161426,8650149,301726,572,6156,1394218,21627,243359,56,10354893,334575
"2020-05-12",79040,1506,6585,11240,1540,47344,159609,8348423,288739,559,6352,1372591,22559,238863,56,10020318,324832
"2020-05-11",77534,894,6488,11148,1301,46550,158069,8059684,357011,551,6350,1350032,18299,232012,56,9695486,388884
"2020-05-10",76640,1032,6445,11393,1040,46760,156768,7702673,244518,547,6395,1331733,20882,215479,56,9306602,263218
"2020-05-09",75608,1456,6367,11496,1659,48561,155728,7458155,270650,543,6551,1310851,25186,211899,56,9043384,306812
